source,subject,setting,region,query_frame,neighbor_frame,policy,pool_size,current_max_rotation_deg,current_max_acc_difference_m_s2,reference_pose_gap_deg,large_pose_gap
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,690,1590,past_2s,1,7.172999051284401,0.8327375862554397,1.5767981500633574,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,690,1590,shuffled_past_2s,1,7.172999051284401,0.8327375862554397,2.869505553639614,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,690,1590,shuffled_past_2s,1,7.172999051284401,0.8327375862554397,1.5767981500633574,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,720,1080,current,1,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,720,1080,current,1,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,720,1080,past_0_5s,1,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,720,1080,past_0_5s,1,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,720,1080,past_2s,1,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,720,1080,past_2s,1,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,720,1080,shuffled_past_2s,1,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,720,1080,shuffled_past_2s,1,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,810,420,current,1,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,810,420,current,1,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,810,420,past_0_5s,1,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,810,420,past_0_5s,1,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,810,420,past_2s,1,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,810,420,past_2s,1,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,810,420,shuffled_past_2s,1,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,810,420,shuffled_past_2s,1,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,900,1740,current,2,7.360842981705364,0.725203414724055,2.9163525561668386,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,900,1740,current,2,7.360842981705364,0.725203414724055,1.0400917883587544,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,900,510,past_0_5s,2,6.47339271641698,0.8474201076740259,2.0103184374529213,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,900,510,past_0_5s,2,6.47339271641698,0.8474201076740259,0.7501305079636227,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,900,510,past_2s,2,6.47339271641698,0.8474201076740259,2.0103184374529213,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,900,510,past_2s,2,6.47339271641698,0.8474201076740259,0.7501305079636227,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,900,1740,shuffled_past_2s,2,7.360842981705364,0.725203414724055,2.9163525561668386,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,900,1740,shuffled_past_2s,2,7.360842981705364,0.725203414724055,1.0400917883587544,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,930,540,current,1,6.888170414306085,0.861073602339324,2.6659399950290945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,930,540,current,1,6.888170414306085,0.861073602339324,0.929181927107034,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,930,540,past_0_5s,1,6.888170414306085,0.861073602339324,2.6659399950290945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,930,540,past_0_5s,1,6.888170414306085,0.861073602339324,0.929181927107034,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,930,540,past_2s,1,6.888170414306085,0.861073602339324,2.6659399950290945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,930,540,past_2s,1,6.888170414306085,0.861073602339324,0.929181927107034,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,930,540,shuffled_past_2s,1,6.888170414306085,0.861073602339324,2.6659399950290945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,930,540,shuffled_past_2s,1,6.888170414306085,0.861073602339324,0.929181927107034,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,720,current,4,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,720,current,4,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,1410,past_0_5s,4,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,1410,past_0_5s,4,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,1410,past_2s,4,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,1410,past_2s,4,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,720,shuffled_past_2s,4,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,720,shuffled_past_2s,4,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1410,1080,current,1,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1410,1080,current,1,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1410,1080,past_0_5s,1,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1410,1080,past_0_5s,1,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1410,1080,past_2s,1,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1410,1080,past_2s,1,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1410,1080,shuffled_past_2s,1,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1410,1080,shuffled_past_2s,1,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1560,1080,current,1,9.951868883995171,0.9469711405729537,2.0747012887037317,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1560,1080,current,1,9.951868883995171,0.9469711405729537,1.5981440497499857,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1560,1080,past_0_5s,1,9.951868883995171,0.9469711405729537,2.0747012887037317,False
