start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
2.5,Pelvis,2400,0.7577972486779594,1.7609226260938509
2.5,LeftForeArm,2400,0.6089249246382121,1.5745046675004553
2.5,RightForeArm,2400,0.5496546460165134,1.1595874123556404
2.5,LeftLowerLeg,2400,1.0724173111732878,2.2378438299709345
2.5,RightLowerLeg,2400,1.556239561093188,5.233712905981793
12.5,Pelvis,2400,0.718409251814003,1.3644474113240048
12.5,LeftForeArm,2400,0.4820856127196334,1.6915926788245585
12.5,RightForeArm,2400,0.5642012127266489,1.2719384481510012
12.5,LeftLowerLeg,2400,1.4209804732839402,3.0433292707213138
12.5,RightLowerLeg,2400,0.712493959148362,1.452232034774675
22.5,Pelvis,2400,1.2431400363611538,1.899977454874687
22.5,LeftForeArm,2400,0.19567462789006015,0.3022459975161141
22.5,RightForeArm,2400,0.48891315089561904,1.643311426348568
22.5,LeftLowerLeg,2400,0.8416488468011646,1.367340693546272
22.5,RightLowerLeg,2400,0.5431581477502104,1.0940071336260604
32.5,Pelvis,2400,1.15183009111831,2.077099353420428
32.5,LeftForeArm,2400,0.2801845642959595,0.5473195477873907
32.5,RightForeArm,2400,0.7463745961856134,1.8270095008138962
32.5,LeftLowerLeg,2400,0.9470284736266066,1.7399536108438096
32.5,RightLowerLeg,2400,1.2341290282078548,4.198528598478976
42.5,Pelvis,2400,0.9002329596011184,1.787818115502165
42.5,LeftForeArm,2400,0.7674406798712838,2.0552203699577873
42.5,RightForeArm,2400,0.7638889108628971,2.482067372593961
42.5,LeftLowerLeg,2400,1.3749368476455814,3.1127992785595953
42.5,RightLowerLeg,2400,1.5670885174281937,4.264090799904208
52.5,Pelvis,2400,0.700168215856809,1.2823734878362893
52.5,LeftForeArm,2400,0.5099004373135861,1.199651529709768
52.5,RightForeArm,2400,1.1041915276282595,2.400552219312037
52.5,LeftLowerLeg,2400,1.1587057860691297,2.373295911326418
52.5,RightLowerLeg,2400,1.1536882456126727,2.250607666768543
62.5,Pelvis,2400,0.8742016937749671,1.7611473006682012
62.5,LeftForeArm,2400,0.5664375985088539,1.007607353384953
62.5,RightForeArm,2400,1.2546668855396776,3.513287282744385
62.5,LeftLowerLeg,2400,1.1612094781814608,3.112385380354002
62.5,RightLowerLeg,2400,0.9701251430017344,2.548616601416245
72.5,Pelvis,2400,0.872514087147457,1.7552283906836486
72.5,LeftForeArm,2400,0.9686590187093166,2.150606013289402
72.5,RightForeArm,2400,0.9461657847602383,1.9145738806385553
72.5,LeftLowerLeg,2400,1.4877772375265128,3.0562429756254383
72.5,RightLowerLeg,2400,1.4811666089465305,4.771449516481409
82.5,Pelvis,2400,1.2755603833667442,2.6028428309292435
82.5,LeftForeArm,2400,0.5956593902515792,1.255792239787503
82.5,RightForeArm,2400,0.44933386414966414,1.1825963024862765
82.5,LeftLowerLeg,2400,2.1743462534155644,4.4094006362502975
82.5,RightLowerLeg,2400,2.0934228386661196,4.491760985627918
92.5,Pelvis,2400,1.1630686922734703,2.2843374909360157
92.5,LeftForeArm,2400,0.6596490530888545,1.433917397922227
92.5,RightForeArm,2400,0.9409225199752782,2.770819347799553
92.5,LeftLowerLeg,2400,2.125525627683209,4.314186670259307
92.5,RightLowerLeg,2400,2.1577442508723097,4.3013386021651705
102.5,Pelvis,2400,1.7210391418018631,5.607667301533364
102.5,LeftForeArm,2400,0.8902701549902394,2.057352701642617
102.5,RightForeArm,2400,0.4677823312825664,0.8307926012895576
102.5,LeftLowerLeg,2400,2.5614506188888195,7.515639837116529
102.5,RightLowerLeg,2400,2.6637360378377006,7.258289091606059
112.5,Pelvis,2400,1.6563545598620237,3.7805063950277225
112.5,LeftForeArm,2400,0.6827921999211601,1.5795565413959587
112.5,RightForeArm,2400,0.37760458699375216,0.7102088390744029
112.5,LeftLowerLeg,2400,2.6740402424457606,5.765435678361421
112.5,RightLowerLeg,2400,2.2867159253216625,5.536542540492783
122.5,Pelvis,2400,1.3942067490450325,2.590438383210845
122.5,LeftForeArm,2400,1.020053930276304,1.9419283147863071
122.5,RightForeArm,2400,0.669802758923532,1.4081299720727323
122.5,LeftLowerLeg,2400,1.8873535770088092,3.510433205661762
122.5,RightLowerLeg,2400,2.0692107872865133,4.6937264749330385
132.5,Pelvis,2400,1.1533571002848384,1.9245323262456158
132.5,LeftForeArm,2400,0.599620165250833,1.4306054567968833
132.5,RightForeArm,2400,0.996041935383692,2.114162170702234
132.5,LeftLowerLeg,2400,1.7566154702480572,3.9257472807610596
132.5,RightLowerLeg,2400,2.3013996303096294,4.690192981030429
142.5,Pelvis,2400,2.219221181135471,6.8056025328560885
142.5,LeftForeArm,2400,0.8523230595527583,1.9899455019344054
142.5,RightForeArm,2400,0.5402153754150373,1.2530806225665503
142.5,LeftLowerLeg,2400,3.4333163805643943,11.539118856499181
142.5,RightLowerLeg,2400,4.2795479138442,11.444705131735047
