frame,time_seconds,segment,root_centered_x_m,root_centered_y_m,native_z_m
68433,285.137,Pelvis,0.0,0.0,1.086527943611145
68433,285.137,L5,-0.00489044189453125,0.011791229248046875,1.205489993095398
68433,285.137,L3,0.01302337646484375,0.014919281005859375,1.2887229919433594
68433,285.137,T12,0.0251617431640625,0.015140533447265625,1.365797996520996
68433,285.137,T8,0.042327880859375,0.013479232788085938,1.441802978515625
68433,285.137,Neck,0.0828857421875,0.011730194091796875,1.5399659872055054
68433,285.137,Head,0.12985992431640625,0.0323028564453125,1.616711974143982
68433,285.137,RightShoulder,0.0686798095703125,-0.012590408325195312,1.4955430030822754
68433,285.137,RightUpperArm,0.09897613525390625,-0.15236282348632812,1.4532710313796997
68433,285.137,RightForeArm,0.04155731201171875,-0.21311378479003906,1.134328007698059
68433,285.137,RightHand,0.0291748046875,-0.21021652221679688,0.8653950095176697
68433,285.137,LeftShoulder,0.06063079833984375,0.038120269775390625,1.499783992767334
68433,285.137,LeftUpperArm,0.043212890625,0.18539810180664062,1.4841129779815674
68433,285.137,LeftForeArm,-0.1815338134765625,0.24555397033691406,1.2504709959030151
68433,285.137,LeftHand,-0.0494842529296875,0.45789337158203125,1.1507530212402344
68433,285.137,RightUpperLeg,-0.00336456298828125,-0.10292625427246094,1.1005979776382446
68433,285.137,RightLowerLeg,-0.01531219482421875,-0.06801414489746094,0.6188279986381531
68433,285.137,RightFoot,-0.05860137939453125,-0.029954910278320312,0.12104299664497375
68433,285.137,RightToe,0.13951873779296875,-0.031879425048828125,0.02591400034725666
68433,285.137,LeftUpperLeg,0.00301361083984375,0.1036834716796875,1.0798720121383667
68433,285.137,LeftLowerLeg,0.22750091552734375,-0.003810882568359375,0.6657149791717529
68433,285.137,LeftFoot,0.30133819580078125,-0.034374237060546875,0.17100100219249725
68433,285.137,LeftToe,0.45236968994140625,-0.1773223876953125,0.09969499707221985
88217,367.57,Pelvis,0.0,0.0,0.7371280193328857
88217,367.57,L5,-0.05646514892578125,0.03911399841308594,0.8350890278816223
88217,367.57,L3,-0.06066131591796875,0.06983566284179688,0.9144440293312073
88217,367.57,T12,-0.06249237060546875,0.09943199157714844,0.9866129755973816
88217,367.57,T8,-0.05303192138671875,0.1305675506591797,1.0574300289154053
88217,367.57,Neck,-0.01671600341796875,0.1749897003173828,1.1468260288238525
88217,367.57,Head,0.03650665283203125,0.23367691040039062,1.1941750049591064
88217,367.57,RightShoulder,-0.03578948974609375,0.1317005157470703,1.1161760091781616
88217,367.57,RightUpperArm,0.001983642578125,-0.00290679931640625,1.1680760383605957
88217,367.57,RightForeArm,-0.0771484375,-0.24820327758789062,0.9624530076980591
88217,367.57,RightHand,0.12059783935546875,-0.17912673950195312,0.7933070063591003
88217,367.57,LeftShoulder,-0.04381561279296875,0.1784992218017578,1.0961840152740479
88217,367.57,LeftUpperArm,-0.0832672119140625,0.2935676574707031,1.0099159479141235
88217,367.57,LeftForeArm,-0.0912017822265625,0.3098773956298828,0.6807219982147217
88217,367.57,LeftHand,-0.07765960693359375,0.3692493438720703,0.4184899926185608
88217,367.57,RightUpperLeg,-0.02252960205078125,-0.09700775146484375,0.7668529748916626
88217,367.57,RightLowerLeg,0.44092559814453125,-0.1974163055419922,0.674127995967865
88217,367.57,RightFoot,0.34856414794921875,-0.2267322540283203,0.18247699737548828
88217,367.57,RightToe,0.4526519775390625,-0.3098564147949219,0.019867999479174614
88217,367.57,LeftUpperLeg,0.018768310546875,0.09942245483398438,0.7133659720420837
88217,367.57,LeftLowerLeg,0.45932769775390625,-0.08075904846191406,0.6302120089530945
88217,367.57,LeftFoot,0.34554290771484375,0.05408287048339844,0.16117599606513977
88217,367.57,LeftToe,0.47867584228515625,0.18376541137695312,0.03811800107359886
108001,450.004,Pelvis,0.0,0.0,0.8094260096549988
108001,450.004,L5,-0.010284423828125,0.016719818115234375,0.9274489879608154
108001,450.004,L3,-0.00066375732421875,0.0173187255859375,1.0120999813079834
108001,450.004,T12,0.00185394287109375,0.014585494995117188,1.0900349617004395
