second,native_frames,left_knee_deg_valid_count,left_knee_deg_min,left_knee_deg_median,left_knee_deg_max,right_knee_deg_valid_count,right_knee_deg_min,right_knee_deg_median,right_knee_deg_max,trunk_tilt_deg_valid_count,trunk_tilt_deg_min,trunk_tilt_deg_median,trunk_tilt_deg_max,pelvis_z_m_valid_count,pelvis_z_m_min,pelvis_z_m_median,pelvis_z_m_max
0,240,240,2.09386944770813,2.184357166290283,2.552823066711426,240,0.04423465579748154,0.2930860221385956,0.48618030548095703,240,0.7745546102523804,0.8321593999862671,1.0162557363510132,240,1.0936529636383057,1.0940535068511963,1.0940979719161987
1,240,240,1.887200117111206,2.0628414154052734,2.1314806938171387,240,0.07661667466163635,0.2051072120666504,0.7083117365837097,240,0.6954878568649292,0.7739227414131165,0.9024396538734436,240,1.0930490493774414,1.0937989950180054,1.0940489768981934
2,240,240,2.1371657848358154,3.421994209289551,5.11335563659668,240,0.7308814525604248,4.998337745666504,29.471410751342773,240,0.18974561989307404,0.9603176712989807,2.904477119445801,240,1.0900620222091675,1.0930240154266357,1.09489905834198
3,240,240,2.655864953994751,9.827302932739258,37.40010452270508,240,0.17132015526294708,1.615436315536499,19.94426918029785,240,2.9599547386169434,4.152302265167236,6.297872066497803,240,1.0882869958877563,1.0925705432891846,1.096904993057251
4,240,240,0.11869405955076218,1.8980903625488281,12.881570816040039,240,0.03956468030810356,16.96548080444336,44.51690673828125,240,0.5535542964935303,3.170509099960327,5.675196647644043,240,1.0737240314483643,1.0913444757461548,1.097372055053711
5,240,240,0.31651782989501953,16.17142677307129,48.281982421875,240,1.1708608865737915,5.1226348876953125,41.550811767578125,240,1.3211578130722046,2.6084933280944824,3.211076259613037,240,1.0718549489974976,1.087388038635254,1.099491000175476
6,240,240,0.6084505319595337,4.96681022644043,55.7024040222168,240,0.08392936736345291,3.3888285160064697,50.95840072631836,240,2.0273854732513428,3.952302932739258,7.5067362785339355,240,1.0681849718093872,1.0919619798660278,1.099025011062622
7,240,240,1.402071237564087,4.143165588378906,35.816497802734375,240,6.061618328094482,41.04910659790039,56.188114166259766,240,0.6838552355766296,2.228882312774658,4.072656631469727,240,1.0633620023727417,1.0956114530563354,1.130411982536316
8,240,240,22.97988510131836,39.14944839477539,74.19892120361328,240,2.005157232284546,6.585227966308594,39.35062026977539,240,0.9514160752296448,3.0993804931640625,6.718634605407715,240,1.092344045639038,1.110840082168579,1.1319650411605835
9,240,240,14.684556007385254,17.690921783447266,33.931522369384766,240,0.09691328555345535,36.1530647277832,65.45185852050781,240,2.9816997051239014,6.403636932373047,12.602837562561035,240,1.0980479717254639,1.1236073970794678,1.1407259702682495
10,240,240,0.3077413737773895,18.387401580810547,42.98018264770508,240,0.02797645330429077,1.705312728881836,4.118988990783691,240,8.1490478515625,10.90623950958252,14.292036056518555,240,1.094014048576355,1.105533480644226,1.1227869987487793
11,240,240,0.11703392118215561,0.576582133769989,0.7885750532150269,240,0.2839302718639374,2.248310089111328,2.982356309890747,240,9.64783000946045,14.443519592285156,15.312666893005371,240,1.0929139852523804,1.093709945678711,1.0943289995193481
12,240,240,0.11534988135099411,0.40744102001190186,2.3803904056549072,240,2.781715154647827,9.427774429321289,17.28645896911621,240,5.093122482299805,10.528332710266113,11.801178932189941,240,1.091791033744812,1.0951380729675293,1.0980650186538696
13,240,240,2.39490008354187,6.376723766326904,12.007397651672363,240,1.3241169452667236,5.109269618988037,7.048290252685547,240,3.539722204208374,6.366879463195801,7.811126232147217,240,1.0917270183563232,1.0944204330444336,1.0963070392608643
14,240,240,3.408466339111328,4.808925628662109,5.539551734924316,240,1.7104066610336304,12.107826232910156,22.47005271911621,240,0.6664660573005676,5.787449359893799,7.74437952041626,240,1.0926350355148315,1.0950970649719238,1.0972670316696167
15,240,240,5.283571720123291,6.013498306274414,9.774750709533691,240,3.5381734371185303,4.447918891906738,9.988987922668457,240,0.5861743092536926,5.773778915405273,6.8610124588012695,240,1.0930860042572021,1.093737006187439,1.0944629907608032
16,240,240,2.8590331077575684,3.7363524436950684,6.414445400238037,240,1.0216329097747803,1.7716667652130127,21.023147583007812,240,0.23903107643127441,3.8242266178131104,5.009341239929199,240,1.0882649421691895,1.09381103515625,1.095062017440796
17,240,240,6.479048252105713,14.547021865844727,22.226211547851562,240,0.5797971487045288,7.704555511474609,29.555805206298828,240,2.1472160816192627,5.4809441566467285,15.55780029296875,240,1.0848829746246338,1.0890179872512817,1.1064790487289429
18,240,240,13.303905487060547,20.114185333251953,31.167217254638672,240,0.4436727464199066,1.0358984470367432,1.4633980989456177,240,10.817815780639648,13.318029403686523,16.138381958007812,240,1.1010539531707764,1.1019970178604126,1.1065850257873535
19,240,240,31.248550415039062,33.888671875,34.63539123535156,240,1.4782993793487549,2.738953113555908,2.8561556339263916,240,9.965472221374512,10.386218070983887,10.794774055480957,240,1.1009160280227661,1.1031190156936646,1.1056360006332397
20,240,240,33.251949310302734,34.964881896972656,35.55308151245117,240,2.177896499633789,2.6816093921661377,2.7930216789245605,240,10.073569297790527,10.661933898925781,10.841554641723633,240,1.1010650396347046,1.1050920486450195,1.1060459613800049
21,240,240,35.564056396484375,37.345252990722656,37.76453399658203,240,1.7349448204040527,2.103428363800049,2.306983709335327,240,8.91991138458252,10.070676803588867,10.329615592956543,240,1.1007169485092163,1.1035680770874023,1.104369044303894
22,240,240,11.169973373413086,32.374488830566406,37.48945999145508,240,0.3460501432418823,1.4667826890945435,2.2973766326904297,240,8.302576065063477,9.007596015930176,9.570558547973633,240,1.0965780019760132,1.102921962738037,1.103685975074768
23,240,240,2.6674842834472656,3.738370418548584,11.097054481506348,240,0.2873553931713104,0.689411997795105,0.9147156476974487,240,6.104030609130859,6.53082275390625,8.28097915649414,240,1.0949159860610962,1.0962245464324951,1.0965299606323242
24,240,240,1.833122968673706,2.0563793182373047,3.886653184890747,240,0.5059038400650024,1.2437973022460938,1.4183071851730347,240,4.909994602203369,5.394140243530273,6.100882053375244,240,1.094107985496521,1.0945274829864502,1.094918966293335
25,240,240,1.9255943298339844,2.0002224445343018,2.0960185527801514,240,1.1314228773117065,1.2787059545516968,1.312687873840332,240,4.917769432067871,5.033298492431641,5.649722099304199,240,1.0940799713134766,1.0942394733428955,1.0948220491409302
26,240,240,1.5168479681015015,1.9916917085647583,2.2926008701324463,240,0.18451745808124542,0.8459035754203796,1.2814581394195557,240,5.654646396636963,6.204927444458008,6.813018321990967,240,1.0943870544433594,1.0950675010681152,1.0953689813613892
