source,subject_id,region,setting,start_frame,end_frame_exclusive,duration_seconds,annotation_status,status,mean_error_deg,valid_frames,total_frames,entry_error_deg,late_error_deg,retention_delta_deg,correct_entry,sustained_failure,failure_all,retention_failure_given_correct_entry,false_standing
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_10,3750,3971,3.683333333333333,candidate_not_reviewed,evaluated,16.78459847771241,221,221,17.387393374292838,16.444127007791327,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_10,5002,5237,3.9166666666666665,candidate_not_reviewed,evaluated,36.505716402331515,235,235,38.94403559152401,35.90554026925426,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_10,5619,5845,3.7666666666666666,candidate_not_reviewed,evaluated,34.71828035495624,226,226,35.79353461836395,30.87411438592121,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,1232,1458,3.7666666666666666,candidate_not_reviewed,evaluated,5.049577799695177,226,226,5.121679325097228,4.890422618601375,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,1825,2097,4.533333333333333,candidate_not_reviewed,evaluated,4.495298723939428,272,272,4.7247137195814615,4.359872155219955,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,2526,2693,2.783333333333333,candidate_not_reviewed,evaluated,5.658255030886,167,167,4.481721427935623,6.523956372560659,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,2897,3019,2.033333333333333,candidate_not_reviewed,evaluated,5.740785853854473,122,122,6.311812184651603,5.142635446715707,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,3106,3332,3.7666666666666666,candidate_not_reviewed,evaluated,5.763269480379413,226,226,5.120172441562153,7.270449508411317,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,3750,3971,3.683333333333333,candidate_not_reviewed,evaluated,4.1375358846523325,221,221,5.325722830331404,3.2365370067700403,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,5097,5237,2.3333333333333335,candidate_not_reviewed,evaluated,7.163614041743566,140,140,7.160030333224243,7.13129904019749,,True,False,False,False,not_inferred_from_angle_error
