source,subject,region,start_frame,end_frame_exclusive,duration_seconds,policy,mean_error_deg,initial_frame_error_deg,valid_frames,oracle_write_fraction_after_entry
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3106,3253,2.45,fixed_so3_ema,32.07792046790898,39.44534418842048,147,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3106,3253,2.45,gt_greedy_keep_write,31.375608529091785,39.44534418842048,147,0.8424657534246576
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3801,3971,2.8333333333333335,write,16.55823862136736,16.48854514065559,170,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3801,3971,2.8333333333333335,keep_entry,16.569689113904563,16.48854514065559,170,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3801,3971,2.8333333333333335,fixed_so3_ema,16.56088348466903,16.48854514065559,170,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,3801,3971,2.8333333333333335,gt_greedy_keep_write,14.997465610499454,16.48854514065559,170,0.04142011834319527
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,5658,5845,3.1166666666666667,write,34.72529650412735,37.46122123575925,187,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,5658,5845,3.1166666666666667,keep_entry,37.964334220537395,37.46122123575925,187,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,5658,5845,3.1166666666666667,fixed_so3_ema,35.16399080937293,37.46122123575925,187,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,5658,5845,3.1166666666666667,gt_greedy_keep_write,34.46032441769746,37.46122123575925,187,0.46774193548387094
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,5184,5324,2.3333333333333335,write,7.50949274784292,7.503060038848428,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,5184,5324,2.3333333333333335,keep_entry,7.5172054003123545,7.503060038848428,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,5184,5324,2.3333333333333335,fixed_so3_ema,7.510816399373843,7.503060038848428,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,5184,5324,2.3333333333333335,gt_greedy_keep_write,7.502659222882861,7.503060038848428,140,0.10071942446043165
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,5184,5324,2.3333333333333335,write,19.025569702904804,18.72496883444915,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,5184,5324,2.3333333333333335,keep_entry,18.756537367859398,18.72496883444915,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,5184,5324,2.3333333333333335,fixed_so3_ema,19.00119051493822,18.72496883444915,140,
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,5184,5324,2.3333333333333335,gt_greedy_keep_write,18.748121846618357,18.72496883444915,140,0.007194244604316547
