start_seconds,frames,lower_mean_error_deg,delay_aligned_lower_error_deg,predicted_knee_bend_mean_deg,reference_knee_bend_mean_deg,left_hip_error_deg,right_hip_error_deg,left_knee_error_deg,right_knee_error_deg
0.0,434,15.105322475282918,13.453254574918391,15.045374864279621,18.53315247630898,14.880083470865792,14.97694610397772,14.483767715593011,16.08049261069515
10.0,600,12.263489057824007,12.023771065799354,12.338363276368769,8.362988973031397,14.274920725893764,12.455742823717543,13.338514181792998,8.984778499891723
20.0,600,12.421434334347632,12.356602981331337,12.174473483863903,6.58100307141342,17.132144922977094,8.774020962484935,17.39921218021226,6.380359271716237
30.0,600,10.945513252541874,10.757913867388295,6.563490793847048,6.008167110629135,10.988489999130572,12.220424808785816,11.678539994802538,8.89459820744857
40.0,600,14.74529020444516,13.222420642595829,15.195668591358778,19.13122219802974,14.191994374987068,13.91777549117019,15.55153571569318,15.31985523593021
50.0,600,11.663785943635622,11.19282753376197,8.067523947834973,9.09009524220059,10.326714556565806,15.162745221451178,10.26280324510016,10.902880751425341
60.0,600,11.896887221050978,11.519488442882441,6.002353183373678,7.714675989818452,13.089011762265402,12.369214138835895,11.608124658729405,10.521198324373206
70.0,600,14.71738905745721,13.345511453845836,18.09672897730184,13.407282412494848,19.469515841637477,10.289477706472537,15.869535902796233,13.241026778922585
80.0,600,18.5491385189402,13.356857374486857,19.23784567006546,19.35197752036404,20.800953092915023,14.401235767236633,20.804381898327897,18.18998331728125
90.0,600,18.855796789684312,14.050120768204312,15.058341251220194,19.851402103237128,19.419161989818978,14.99727906562298,19.98193673084006,21.02480937245523
100.0,600,16.904234165086056,14.544844968727421,13.41461840157514,19.729903067754833,17.43768833431915,15.23539473679306,17.489617421689132,17.45423616754287
110.0,600,19.933379505563746,14.064030457125188,18.56564791259151,24.429087377888845,20.788823905396427,15.607437592437995,21.025656934013497,22.311599590407077
120.0,600,18.70170594511183,12.207523484502232,18.427263256140158,22.519665328507998,19.15010429732173,15.224615295266803,18.624815379754068,21.807288808104726
130.0,600,21.490248522794186,15.607906715035648,27.233629164846498,22.81844930737702,22.83322909539029,17.362917767996443,24.14227802270209,21.622569205087917
140.0,600,20.634602923141653,13.440736447473146,20.495995790742334,25.10068365271229,19.77313936599394,16.589067554675808,22.54151871457164,23.634686057325208
