kind,start_seconds,duration_seconds,frames,mean_lower_error_deg,first10s_error_deg,last10s_error_deg,predicted_knee_bend_mean_deg,reference_knee_bend_mean_deg
seated_like,288.137,158.86666666666667,9532,57.98053608211018,57.86724694572582,64.1461058615765,33.98606873532285,88.45437267658174
seated_like,450.15,29.641666666666666,1779,38.65266045847597,39.53067967265842,41.2148775107894,63.50693113725151,94.31706558814396
seated_like,490.566,87.1,5226,37.4514608667758,42.11259898532171,36.29846303305999,61.10279242835531,93.15291975725971
seated_like,929.516,206.8625,12412,30.380449955113296,32.873657957875245,28.992157860974373,69.11801366196345,91.00667947738326
strict_low_angular_speed,306.583,7.179166666666666,431,60.80704876469455,60.80704876469455,60.80704876469455,22.59531956205261,81.36840241613429
strict_low_angular_speed,358.341,6.066666666666666,364,54.983959849186675,54.983959849186675,54.983959849186675,44.69374524523484,93.55338970594495
strict_low_angular_speed,461.75,6.6,396,35.062908206554624,35.062908206554624,35.062908206554624,67.2461842595092,93.933879063114
strict_low_angular_speed,507.825,10.075,604,34.89842989943498,34.89712063639885,34.901813821466966,64.95464032884206,93.15304275127173
strict_low_angular_speed,524.2,12.754166666666666,766,38.2614932225416,37.752155838366114,38.68158914050211,60.623368169749654,93.02642023876783
strict_low_angular_speed,539.0,34.1375,2049,36.960762296850994,37.712249158492554,36.318746486174874,60.80159667608303,92.99641813780111
strict_low_angular_speed,612.087,9.729166666666666,583,32.604605297453254,32.604605297453254,32.604605297453254,70.67109291106978,97.56705477845459
strict_low_angular_speed,622.095,13.120833333333334,787,32.403326822493426,32.45919833990181,32.30834554567876,70.62604433290214,97.49890722993895
strict_low_angular_speed,638.345,8.754166666666666,525,33.05571251768567,33.05571251768567,33.05571251768567,73.04220698295352,97.41442698327621
strict_low_angular_speed,647.208,7.8,468,32.44306139455288,32.44306139455288,32.44306139455288,72.07062161674598,97.34306595752454
strict_low_angular_speed,662.045,12.2625,736,32.18985378478537,32.215927679914316,32.120005150764484,70.55853050520443,97.28226970473551
strict_low_angular_speed,681.008,5.0,300,32.27782788752491,32.27782788752491,32.27782788752491,71.81735556499032,97.25322030043608
strict_low_angular_speed,723.754,33.954166666666666,2037,33.5638915851006,33.59208017394548,33.537108213051496,69.81787258001658,95.67260785391844
strict_low_angular_speed,769.704,7.25,435,33.75255053492776,33.75255053492776,33.75255053492776,67.91566671284376,95.4511924500486
strict_low_angular_speed,782.145,15.566666666666666,934,33.51371821140315,33.61485659662524,33.413287604945815,71.14168279242429,95.14140727450572
strict_low_angular_speed,798.791,19.320833333333333,1159,32.92641000407233,32.93511141902352,32.897154419616584,70.33238671008932,95.10428983705137
strict_low_angular_speed,824.287,12.666666666666666,760,32.384101188462076,32.57466329891527,32.44821528861057,71.26872538774859,94.95559194109197
strict_low_angular_speed,837.075,5.129166666666666,308,32.01202192810236,32.01202192810236,32.01202192810236,69.92957546748025,94.6320709412568
strict_low_angular_speed,846.308,6.5,390,31.87965182654894,31.87965182654894,31.87965182654894,69.99446691060658,94.61041649535973
strict_low_angular_speed,857.1,10.104166666666666,607,31.751524746836193,31.75301716593174,31.751092479119798,70.2794774300665,94.46819040347954
strict_low_angular_speed,870.441,18.275,1096,32.26112000860633,32.054092691899434,32.39620335309653,70.75024179603115,94.31528763895575
strict_low_angular_speed,925.55,31.404166666666665,1885,32.47248974219083,32.96226604582689,31.9691822207968,69.90582217115174,92.83867808076428
strict_low_angular_speed,959.287,10.408333333333333,624,31.326670741567323,31.327581896065713,31.33104553211626,69.36946983105673,91.99265304698812
strict_low_angular_speed,969.854,12.808333333333334,768,31.45026344741679,31.479449608349192,31.544041015246876,69.45373001066623,91.96710105357106
strict_low_angular_speed,999.529,9.1375,548,30.763387979589616,30.763387979589616,30.763387979589616,69.21149522382308,91.31416314314892
strict_low_angular_speed,1008.7,13.129166666666666,788,30.365272006593198,30.432725592487163,30.410474055204467,69.67884450507681,91.04687073041747
strict_low_angular_speed,1021.891,15.470833333333333,928,30.144020853511556,30.074118768586136,30.248070064350436,69.47223256978587,90.65372687339851
strict_low_angular_speed,1039.287,7.229166666666667,433,29.748191019028017,29.748191019028017,29.748191019028017,69.02460220203217,90.45381193876682
strict_low_angular_speed,1055.254,14.266666666666667,856,29.772367133783657,29.78714448128815,29.717241599440833,68.07040251267594,90.54045533909081
strict_low_angular_speed,1069.6,6.070833333333334,365,29.439001224637927,29.439001224637927,29.439001224637927,68.82743047309762,90.53440612924835
strict_low_angular_speed,1104.341,6.566666666666666,394,28.877827508147178,28.877827508147178,28.877827508147178,67.86241270217144,90.05178238952102
strict_low_angular_speed,1115.941,17.008333333333333,1020,28.780265249050878,28.86717154565501,28.647869149403864,68.34816721699053,89.94292398859498
seated_like_and_strict,306.583,7.179166666666666,431,60.80704876469455,60.80704876469455,60.80704876469455,22.59531956205261,81.36840241613429
seated_like_and_strict,358.341,6.066666666666666,364,54.983959849186675,54.983959849186675,54.983959849186675,44.69374524523484,93.55338970594495
seated_like_and_strict,461.75,6.6,396,35.062908206554624,35.062908206554624,35.062908206554624,67.2461842595092,93.933879063114
seated_like_and_strict,507.825,10.075,604,34.89842989943498,34.89712063639885,34.901813821466966,64.95464032884206,93.15304275127173
seated_like_and_strict,524.2,12.754166666666666,766,38.2614932225416,37.752155838366114,38.68158914050211,60.623368169749654,93.02642023876783
seated_like_and_strict,539.0,34.1375,2049,36.960762296850994,37.712249158492554,36.318746486174874,60.80159667608303,92.99641813780111
